Time, Network Latency 
1.67495e+09,61.539110000
1.67495e+09,86.686179000
1.67495e+09,64.006064000
1.67495e+09,88.759632000
1.67495e+09,66.216348000
1.67495e+09,89.462345000
1.67495e+09,66.246780000
1.67495e+09,85.223055000
1.67495e+09,60.985515000
1.67495e+09,84.722228000
1.67495e+09,60.549231000
1.67495e+09,85.152976000
1.67495e+09,60.756302000
1.67495e+09,84.916179000
1.67495e+09,60.667150000
1.67495e+09,85.347054000
1.67495e+09,60.813773000
1.67495e+09,85.028018000
1.67495e+09,60.289905000
1.67495e+09,86.022632000
1.67495e+09,62.412478000
1.67495e+09,85.685867000
1.67495e+09,61.297256000
1.67495e+09,85.955337000
1.67495e+09,61.572421000
1.67495e+09,85.749707000
1.67495e+09,61.585669000
1.67495e+09,85.176528000
1.67495e+09,60.650766000
1.67495e+09,86.760162000
1.67495e+09,62.938554000
1.67495e+09,85.388974000
1.67495e+09,60.954955000
1.67495e+09,85.089233000
1.67495e+09,59.884565000
1.67495e+09,84.535862000
1.67495e+09,59.530328000
1.67495e+09,84.673749000
1.67495e+09,59.844245000
1.67495e+09,84.633685000
1.67495e+09,59.783734000
1.67495e+09,84.543893000
1.67495e+09,60.161587000
1.67495e+09,84.355863000
1.67495e+09,59.580792000
1.67495e+09,84.057626000
1.67495e+09,59.692759000
1.67495e+09,83.910299000
1.67495e+09,58.604416000
1.67495e+09,83.948731000
1.67495e+09,59.468216000
1.67495e+09,84.075834000
1.67495e+09,58.708384000
1.67495e+09,84.016987000
1.67495e+09,59.487833000
1.67495e+09,83.945980000
1.67495e+09,59.223995000
1.67495e+09,83.829021000
1.67495e+09,59.249178000
1.67495e+09,83.801629000
1.67495e+09,59.030621000
1.67495e+09,83.700733000
1.67495e+09,59.178171000
1.67495e+09,83.411648000
1.67495e+09,59.003581000
1.67495e+09,83.788381000
1.67495e+09,59.228507000
1.67495e+09,83.624478000
1.67495e+09,58.993950000
1.67495e+09,83.561439000
1.67495e+09,58.814462000
1.67495e+09,83.433440000
1.67495e+09,58.684384000
1.67495e+09,83.403584000
1.67495e+09,58.861023000
1.67495e+09,83.505215000
1.67495e+09,58.593953000
1.67495e+09,83.270721000
1.67495e+09,58.751999000
1.67495e+09,83.437600000
1.67495e+09,58.873406000
1.67495e+09,83.503551000
1.67495e+09,58.746623000
1.67495e+09,83.398177000
1.67495e+09,58.442530000
1.67495e+09,83.380161000
1.67495e+09,58.676352000
1.67495e+09,83.303234000
1.67495e+09,58.439138000
1.67495e+09,83.227266000
1.67495e+09,58.707904000
1.67495e+09,82.686055000
1.67495e+09,57.656649000
1.67495e+09,83.070275000
1.67495e+09,58.389411000
1.67495e+09,82.985636000
1.67495e+09,58.319235000
1.67495e+09,82.947780000
1.67495e+09,58.260516000
1.67495e+09,83.033123000
1.67495e+09,58.475585000
1.67495e+09,84.243065000
1.67495e+09,59.882645000
1.67495e+09,82.984228000
1.67495e+09,58.224196000
1.67495e+09,83.778813000
1.67495e+09,59.616055000
1.67495e+09,82.402409000
1.67495e+09,58.029990000
1.67495e+09,82.581608000
1.67495e+09,58.008550000
1.67495e+09,82.650791000
1.67495e+09,57.820263000
1.67495e+09,82.598920000
1.67495e+09,57.900295000
1.67495e+09,82.373226000
1.67495e+09,57.358892000
1.67495e+09,82.301354000
1.67495e+09,107.042890000
1.67495e+09,82.535880000
1.67495e+09,57.635178000
1.67495e+09,82.096588000
1.67495e+09,57.416492000
1.67495e+09,81.926446000
1.67495e+09,57.414123000
1.67495e+09,82.068940000
1.67495e+09,57.017327000
1.67495e+09,81.997837000
1.67495e+09,57.505003000
1.67495e+09,81.855982000
1.67495e+09,57.320652000
1.67495e+09,82.055117000
1.67495e+09,57.396715000
1.67495e+09,81.597425000
1.67495e+09,57.328620000
1.67495e+09,81.599344000
1.67495e+09,57.100974000
1.67495e+09,81.042421000
1.67495e+09,57.333356000
